Product,Customer Name,Rating,Rating Header,Review
redmi note 11,Flipkart Customer,3,Just okay,This phone is over all good... Camera is nice battery back up is almost ok but what Redmi have claimed about their 67 watt charger is totally wrong... Full charge in half an hour but it takes more than an hour to fully charge the phone and I am not satisfied with that...
redmi note 11,Flipkart Customer,5,Brilliant,Good looking and featured phone. More good than expectations.
redmi note 11,binoy paul,3,Good,In out side camera is outstanding.... 😍
redmi note 11,Yogesh Bhati,5,Must buy!,"According to the price of this phone, it is foolish to call it good."
redmi note 11,Farukh Mohammed,4,Very Good,Good
redmi note 11,Pradesh Raul,5,Mind-blowing purchase,Good product&service
redmi note 11,Jatin Rajput,1,Waste of money!,"Worst camera....heat, lagging and pixels issue without zoom within 2 days of buying this product."
redmi note 11,JEETENDER  Chawla,5,Terrific,Bought it for my son good product even he plays PUBG on it
redmi note 11,Kabaddi Lover,3,Nice,Don't Buy This Mobile....1.Hetting Problem In Charge Time2.Mobile Hanging For Some Time 3.Camera Performance Just Ok4.Gaming Lovers Don't Buy This Mobile 5.Very Fast Charging 6.No Battery Drain Issues
redmi note 11,Parthasarathi Mandal,5,Wonderful,Redmi's product always better 👍👍
